"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"567","New World","Sep 28, 2021","$39.99","N/A (N/A/70%)","50,000,000 .. 100,000,000","30:27 (12:52)","Amazon Games","Amazon Games"
"9","ELDEN RING","Feb 24, 2022","$59.99","N/A (N/A/94%)","20,000,000 .. 50,000,000","06:07 (02:10)","FromSoftware Inc.","FromSoftware Inc., Bandai Namco Entertainment"
"71","Path of Exile","Oct 23, 2013","Free","N/A (N/A/86%)","20,000,000 .. 50,000,000","02:34 (01:54)","Grinding Gear Games","Grinding Gear Games"
"135","Terraria","May 16, 2011","$9.99","N/A (N/A/83%)","20,000,000 .. 50,000,000","14:23 (04:02)","Re-Logic","Re-Logic"
"270","PAYDAY 2","Aug 13, 2013","$9.99","N/A (N/A/79%)","20,000,000 .. 50,000,000","31:06 (07:58)","OVERKILL - a Starbreeze Studio.","Starbreeze Publishing AB"
"585","Warframe","Mar 25, 2013","Free","N/A (N/A/69%)","20,000,000 .. 50,000,000","14:51 (03:59)","Digital Extremes","Digital Extremes"
"586","Rust","Feb 8, 2018","$39.99","N/A (N/A/69%)","20,000,000 .. 50,000,000","20:41 (06:32)","Facepunch Studios","Facepunch Studios"
"3076","Lost Ark","Feb 11, 2022","Free","N/A (N/A)","20,000,000 .. 50,000,000","36:33 (20:40)","Smilegate RPG","Amazon Games"
"3079","Valheim","Feb 2, 2021","$19.99","N/A (N/A)","20,000,000 .. 50,000,000","09:50 (07:12)","Iron Gate AB","Coffee Stain Publishing"
"13","The Witcher 3: Wild Hunt","May 18, 2015","$7.99","N/A (N/A/93%)","10,000,000 .. 20,000,000","06:36 (01:46)","CD PROJEKT RED","CD PROJEKT RED"
"35","Borderlands 2","Sep 17, 2012","$19.99","N/A (N/A/89%)","10,000,000 .. 20,000,000","12:05 (16:33)","Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)"
"36","Stardew Valley","Feb 26, 2016","$14.99","N/A (N/A/89%)","10,000,000 .. 20,000,000","05:46 (00:58)","ConcernedApe","ConcernedApe"
"72","Cyberpunk 2077","Dec 9, 2020","$59.99","N/A (N/A/86%)","10,000,000 .. 20,000,000","12:31 (08:37)","CD PROJEKT RED","CD PROJEKT RED"
"568","ARK: Survival Evolved","Aug 27, 2017","$19.99","N/A (N/A/70%)","10,000,000 .. 20,000,000","29:21 (13:00)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"719","Warface","Apr 12, 2012","Free","N/A (N/A/62%)","10,000,000 .. 20,000,000","00:40 (00:39)","MY.GAMES","MY.GAMES"
"2077","Trove","Jul 9, 2015","N/A","N/A (N/A)","10,000,000 .. 20,000,000","02:14 (02:53)","gamigo US Inc.","gamigo US Inc."
"2078","Robocraft","Aug 24, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Freejam","Freejam"
"3073","鬼谷八荒 Tale of Immortal","Jan 27, 2021","$19.99","N/A (N/A)","10,000,000 .. 20,000,000","08:00 (05:33)","鬼谷工作室","鬼谷工作室, Lightning Games"
"3078","7 Days to Die","Dec 13, 2013","$24.99","N/A (N/A)","10,000,000 .. 20,000,000","11:55 (06:14)","The Fun Pimps","The Fun Pimps Entertainment LLC"
"8","The Elder Scrolls V: Skyrim","Nov 10, 2011","$19.99","N/A (N/A/94%)","5,000,000 .. 10,000,000","08:20 (14:11)","Bethesda Game Studios","Bethesda Softworks"
"11","Divinity: Original Sin 2 - Definitive Edition","Sep 14, 2017","$44.99","N/A (N/A/93%)","5,000,000 .. 10,000,000","05:01 (05:09)","Larian Studios","Larian Studios"
"12","Hades","Sep 17, 2020","$12.49","N/A (N/A/93%)","5,000,000 .. 10,000,000","12:29 (07:03)","Supergiant Games","Supergiant Games"
"87","STAR WARS: The Old Republic","Dec 20, 2011","Free","N/A (N/A/85%)","5,000,000 .. 10,000,000","01:09 (01:17)","BioWare","Electronic Arts"
"114","Fallout 4","Nov 9, 2015","$19.99","N/A (N/A/84%)","5,000,000 .. 10,000,000","04:54 (03:57)","Bethesda Game Studios","Bethesda Softworks"
"134","Grim Dawn","Feb 25, 2016","$24.99","N/A (N/A/83%)","5,000,000 .. 10,000,000","11:55 (13:48)","Crate Entertainment","Crate Entertainment"
"247","The Elder Scrolls Online","May 22, 2017","$19.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","11:38 (03:54)","ZeniMax Online Studios","Bethesda Softworks"
"378","Mount & Blade II: Bannerlord","Oct 25, 2022","$49.99","N/A (N/A/76%)","5,000,000 .. 10,000,000","05:57 (03:58)","TaleWorlds Entertainment","TaleWorlds Entertainment"
"449","Neverwinter","Dec 5, 2013","Free","N/A (N/A/74%)","5,000,000 .. 10,000,000","00:32 (00:10)","Cryptic Studios","Gearbox Publishing"
"450","The Elder Scrolls V: Skyrim Special Edition","Oct 27, 2016","$39.99","N/A (N/A/74%)","5,000,000 .. 10,000,000","13:10 (05:58)","Bethesda Game Studios","Bethesda Softworks"
"478","Black Desert","May 24, 2017","$9.99","N/A (N/A/73%)","5,000,000 .. 10,000,000","14:34 (14:36)","Pearl Abyss","Pearl Abyss"
"703","Fallout Shelter","Mar 29, 2017","Free","N/A (N/A/63%)","5,000,000 .. 10,000,000","01:36 (00:34)","Bethesda Game Studios","Bethesda Softworks"
"2071","Infestation: The New Z","Nov 22, 2016","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Fredaikis AB","OP Productions LLC"
"2075","Clicker Heroes","May 13, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:25 (00:13)","Playsaurus","Playsaurus"
"2076","Minion Masters","May 24, 2019","Free","N/A (N/A)","5,000,000 .. 10,000,000","07:43 (07:43)","BetaDwarf","BetaDwarf"
"2770","Braveland","Mar 17, 2014","$1.19","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Tortuga Team","Tortuga Team"
"3064","Tom Clancy’s The Division","Mar 7, 2016","$9.89","N/A (N/A)","5,000,000 .. 10,000,000","13:55 (17:37)","Massive Entertainment","Ubisoft"
"3072","Castle Crashers","Sep 26, 2012","$14.99","N/A (N/A)","5,000,000 .. 10,000,000","03:51 (03:38)","The Behemoth","The Behemoth"
"3075","Project Zomboid","Nov 8, 2013","$19.99","N/A (N/A)","5,000,000 .. 10,000,000","12:43 (08:12)","The Indie Stone","The Indie Stone"
"2","BioShock","Aug 21, 2007","$19.99","N/A (N/A/96%)","2,000,000 .. 5,000,000","00:00 (00:00)","2K Boston, 2K Australia","2K"
"10","God of War","Jan 14, 2022","$49.99","N/A (N/A/93%)","2,000,000 .. 5,000,000","11:32 (12:26)","Santa Monica Studio","PlayStation PC LLC"
"15","Undertale","Sep 15, 2015","$9.99","N/A (N/A/92%)","2,000,000 .. 5,000,000","00:27 (00:23)","tobyfox","tobyfox"
"20","Deus Ex: Human Revolution - Director's Cut","Oct 25, 2013","$19.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","05:59 (01:59)","Eidos Montreal","Square Enix"
"21","Fallout 3: Game of the Year Edition","Oct 13, 2009","$19.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","01:23 (01:43)","Bethesda Game Studios","Bethesda Softworks"
"23","Crusader Kings III","Sep 1, 2020","$49.99","N/A (N/A/91%)","2,000,000 .. 5,000,000","08:25 (09:00)","Paradox Development Studio","Paradox Interactive"
"30","Fallout: A Post Nuclear Role Playing Game","Sep 30, 1997","$9.99","N/A (N/A/89%)","2,000,000 .. 5,000,000","00:04 (00:01)","Interplay Inc.","Bethesda Softworks"
"40","EVE Online","May 6, 2003","Free","N/A (N/A/88%)","2,000,000 .. 5,000,000","00:32 (00:36)","CCP","CCP"
"41","Torchlight II","Sep 20, 2012","$14.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","05:00 (03:19)","Runic Games","Runic Games"
"42","The Witcher 2: Assassins of Kings Enhanced Edition","May 17, 2011","$19.99","N/A (N/A/88%)","2,000,000 .. 5,000,000","01:01 (01:12)","CD PROJEKT RED","CD PROJEKT RED, 1C-SoftClub"
"50","Crypt of the NecroDancer","Apr 23, 2015","$14.99","N/A (N/A/87%)","2,000,000 .. 5,000,000","00:26 (00:15)","Brace Yourself Games","Brace Yourself Games, Klei Entertainment"
"64","The Lord of the Rings Online","Jun 6, 2012","Free","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:00 (00:00)","Standing Stone Games, LLC","Standing Stone Games, LLC"
"68","Bastion","Aug 16, 2011","$14.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:00 (00:00)","Supergiant Games","Supergiant Games"
"70","The Witcher: Enhanced Edition Director's Cut","Sep 16, 2008","$9.99","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:25 (00:08)","CD PROJEKT RED","CD PROJEKT RED, 1C-SoftClub"
"88","DARK SOULS: Prepare To Die Edition","Aug 24, 2012","N/A","N/A (N/A/85%)","2,000,000 .. 5,000,000","00:00 (00:00)","FromSoftware","Bandai Namco Entertainment"
"102","RIFT","Oct 24, 2013","Free","N/A (N/A/84%)","2,000,000 .. 5,000,000","16:32 (05:30)","gamigo US Inc.","gamigo US Inc."
"107","Tales of Arise","Sep 9, 2021","$59.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","01:10 (01:52)","Bandai Namco Studios Inc.","Bandai Namco Entertainment"
"109","SPORE","Dec 19, 2008","$19.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","01:54 (00:38)","Maxis™","Electronic Arts"
"111","The Binding of Isaac","Sep 28, 2011","$4.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:33 (00:21)","Edmund McMillen, Florian Himsl","Edmund McMillen"
"113","Darkest Dungeon","Jan 19, 2016","$24.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","10:30 (18:20)","Red Hook Studios","Red Hook Studios"
"128","Orcs Must Die! 2","Jul 30, 2012","$14.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","00:00 (00:00)","Robot Entertainment","Robot Entertainment"
"132","Deus Ex: Mankind Divided","Aug 23, 2016","$29.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","06:17 (04:11)","Eidos Montreal, Feral Interactive (Linux), Feral Interactive (Mac)","Square Enix, Feral Interactive (Linux), Feral Interactive (Mac)"
"133","FINAL FANTASY XIV Online","Feb 18, 2014","$19.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","20:38 (15:38)","Square Enix","Square Enix"
"168","Realm of the Mad God Exalt","Feb 20, 2012","Free","N/A (N/A/82%)","2,000,000 .. 5,000,000","00:48 (00:49)","Wild Shadow Studios, Deca Games","Deca Games"
"169","Crusader Kings II","Feb 14, 2012","Free","N/A (N/A/82%)","2,000,000 .. 5,000,000","04:39 (05:25)","Paradox Development Studio","Paradox Interactive"
"199","Borderlands Game of the Year","Jul 4, 1970","$29.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","00:07 (00:02)","Gearbox Software","2K"
"202","Borderlands 3","Mar 13, 2020","$26.39","N/A (N/A/81%)","2,000,000 .. 5,000,000","04:07 (05:25)","Gearbox Software","2K"
"203","Starbound","Jul 22, 2016","$14.99","N/A (N/A/81%)","2,000,000 .. 5,000,000","03:21 (02:52)","Chucklefish","Chucklefish"
"245","BioShock Remastered","Sep 15, 2016","$19.99","N/A (N/A/80%)","2,000,000 .. 5,000,000","06:29 (04:19)","2K Boston, 2K Australia, Blind Squirrel, Feral Interactive (Mac)","2K, Feral Interactive (Mac)"
"246","Elite Dangerous","Apr 2, 2015","$29.99","N/A (N/A/80%)","2,000,000 .. 5,000,000","20:32 (11:05)","Frontier Developments","Frontier Developments"
"269","DARK SOULS II: Scholar of the First Sin","Apr 1, 2015","$29.99","N/A (N/A/79%)","2,000,000 .. 5,000,000","18:36 (18:54)","FromSoftware, Inc","Bandai Namco Entertainment, FromSoftware, Inc"
"313","Remnant: From the Ashes","Aug 19, 2019","$39.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","02:48 (01:51)","Gunfire Games","Perfect World Entertainment"
"314","Mount & Blade: Warband","Mar 31, 2010","$19.99","N/A (N/A/78%)","2,000,000 .. 5,000,000","09:46 (09:45)","TaleWorlds Entertainment","TaleWorlds Entertainment"
"377","Kingdom Come: Deliverance","Feb 13, 2018","$29.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","17:52 (24:34)","Warhorse Studios","Warhorse Studios, Prime Matter"
"406","Borderlands: The Pre-Sequel","Oct 13, 2014","$39.99","N/A (N/A/75%)","2,000,000 .. 5,000,000","03:37 (02:54)","2K Australia, Gearbox Software, Aspyr (Linux)","2K, Aspyr (Linux)"
"407","Kenshi","Dec 6, 2018","$29.99","N/A (N/A/75%)","2,000,000 .. 5,000,000","19:01 (12:48)","Lo-Fi Games","Lo-Fi Games"
"447","Stories: The Path of Destinies","Apr 12, 2016","$14.99","N/A (N/A/74%)","2,000,000 .. 5,000,000","00:00 (00:00)","Spearhead Games","Spearhead Games"
"448","Magicka","Jan 25, 2011","$9.99","N/A (N/A/74%)","2,000,000 .. 5,000,000","04:28 (01:29)","Arrowhead Game Studios","Paradox Interactive"
"512","DC Universe Online","Nov 2, 2011","Free","N/A (N/A/72%)","2,000,000 .. 5,000,000","00:00 (00:00)","Dimensional Ink Games","Daybreak Game Company"
"515","CODE VEIN","Sep 26, 2019","$59.99","N/A (N/A/72%)","2,000,000 .. 5,000,000","05:24 (06:40)","Bandai Namco Studios","Bandai Namco Entertainment"
"516","Albion Online","Jul 17, 2017","Free","N/A (N/A/72%)","2,000,000 .. 5,000,000","10:08 (30:16)","Sandbox Interactive GmbH","Sandbox Interactive GmbH"
"529","Enclave","Mar 10, 2003","$4.99","N/A (N/A/71%)","2,000,000 .. 5,000,000","00:00 (00:00)","Starbreeze","Topware Interactive"
"667","Star Trek Online","Feb 2, 2010","Free","N/A (N/A/66%)","2,000,000 .. 5,000,000","15:40 (05:13)","Cryptic Studios","Gearbox Publishing"
"696","Defiance","Jun 4, 2014","N/A","N/A (N/A/64%)","2,000,000 .. 5,000,000","00:00 (00:00)","Trion Worlds","Trion Worlds"
"697","Spiral Knights","Jun 14, 2011","Free","N/A (N/A/64%)","2,000,000 .. 5,000,000","04:02 (01:20)","Grey Havens","Grey Havens"
"739","Wolcen: Lords of Mayhem","Feb 13, 2020","$39.99","N/A (N/A/60%)","2,000,000 .. 5,000,000","00:00 (00:00)","WOLCEN Studio","WOLCEN Studio"
"2032","Knight Online","Jan 25, 2016","Free","N/A (N/A)","2,000,000 .. 5,000,000","322:32 (107:30)","Noah System, Mgame","NTTGame"
"2043","Aura Kingdom","Jul 2014","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","X-Legend","Aeria Games"
"2048","Stay Out","Nov 27, 2019","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","MOBITECH LLC","MOBITECH LLC"
"2056","Metin2","Dec 17, 2006","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","WEBZEN Inc.","Gameforge 4D GmbH"
"2062","SoulWorker - Anime Action MMO","Feb 26, 2018","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Lion Games Co., Ltd.","Gameforge 4D GmbH"
"2064","Tree of Savior (English Ver.)","Mar 28, 2016","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd."
"2065","Survarium","Apr 2, 2015","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Vostok Games","Vostok Games"
"2066","Phantasy Star Online 2","Aug 5, 2020","Free","N/A (N/A)","2,000,000 .. 5,000,000","03:17 (03:44)","SEGA","SEGA"
"2067","Dead Frontier 2","Jul 15, 2019","Free","N/A (N/A)","2,000,000 .. 5,000,000","06:32 (02:10)","Creaky Corpse Ltd","Creaky Corpse Ltd"
"2068","Bless Unleashed","Aug 6, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:44 (00:40)","VALOFE","VALOFE"
"2069","Dungeon Defenders II","Jun 20, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Trendy Entertainment","Trendy Entertainment"
"2072","Russian Fishing 4","Nov 10, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","34:23 (25:47)","FishSoft, LLC","FishSoft, LLC"
"2073","Creativerse","May 8, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Playful Corp.","Playful Corp."
"2258","The I of the Dragon","Mar 10, 2004","$6.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Primal","TopWare Interactive"
"3004","Darksiders II Deathinitive Edition","Nov 5, 2015","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","00:15 (00:05)","Gunfire Games, Vigil Games, THQ Nordic","THQ Nordic"
"3029","Neon Abyss","Jul 14, 2020","$9.99","N/A (N/A)","2,000,000 .. 5,000,000","09:36 (12:50)","Veewo Games","Team17, Yooreka Studio (China)"
"3035","Lost Castle / 失落城堡","Aug 31, 2016","$3.99","N/A (N/A)","2,000,000 .. 5,000,000","01:26 (01:54)","Hunter Studio","Neon Doctrine"
"3041","ORION: Prelude","Apr 16, 2013","$0.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","DANKIE","DANKIE"
"3046","Hero Siege","Jan 29, 2014","$6.99","N/A (N/A)","2,000,000 .. 5,000,000","04:27 (01:29)","Panic Art Studios Ltd.","Panic Art Studios Ltd."
"3048","Titan Quest Anniversary Edition","Aug 31, 2016","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","05:36 (05:34)","Iron Lore Entertainment, THQ Nordic","THQ Nordic"
"3053","Mirror 2: Project X","Jan 20, 2022","$1.19","N/A (N/A)","2,000,000 .. 5,000,000","00:01 (00:00)","KAGAMI Ⅱ WORKs","NIJICO"
"3058","太吾绘卷 The Scroll Of Taiwu","Sep 21, 2018","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","02:38 (01:45)","ConchShip Games","ConchShip Games"
"3060","Baldur's Gate 3","Oct 6, 2020","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","01:29 (01:49)","Larian Studios","Larian Studios"
"3061","South Park: The Stick of Truth","Mar 3, 2014","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","01:50 (00:36)","Obsidian Entertainment","Ubisoft"
"3062","Tabletop Simulator","Jun 5, 2015","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","07:47 (01:45)","Berserk Games","Berserk Games"
"3063","Fallout 76: The Pitt","Apr 14, 2020","$39.99","N/A (N/A)","2,000,000 .. 5,000,000","03:40 (01:17)","Bethesda Game Studios","Bethesda Softworks"
"3065","Conan Exiles","May 8, 2018","$15.99","N/A (N/A)","2,000,000 .. 5,000,000","10:53 (15:51)","Funcom","Funcom"
"3066","Middle-earth: Shadow of War","Oct 9, 2017","$10.49","N/A (N/A)","2,000,000 .. 5,000,000","05:33 (09:26)","Monolith Productions","WB Games"
"3069","Gunfire Reborn","Nov 17, 2021","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","04:55 (02:17)","Duoyi Games","Duoyi Games"
"3070","Mirror","Apr 19, 2018","$0.79","N/A (N/A)","2,000,000 .. 5,000,000","00:07 (00:09)","KAGAMI WORKS","Paradise Project"
"3071","Dying Light 2 Stay Human","Feb 3, 2022","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","11:03 (11:06)","Techland","Techland"
"3074","Assassin's Creed Odyssey","Oct 5, 2018","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","06:35 (05:04)","Ubisoft Quebec, Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Singapore, Ubisoft Montpellier, Ubisoft Kiev, Ubisoft Shanghai","Ubisoft"
"3077","Vampire Survivors","Oct 20, 2022","$3.99","N/A (N/A)","2,000,000 .. 5,000,000","02:46 (00:41)","poncle","poncle"
"1","Disco Elysium - The Final Cut","Oct 15, 2019","$39.99","N/A (N/A/97%)","1,000,000 .. 2,000,000","01:33 (01:59)","ZA/UM","ZA/UM"
"4","Mass Effect 2 (2010)","Jan 26, 2010","$4.99","N/A (N/A/94%)","1,000,000 .. 2,000,000","00:00 (00:00)","BioWare","Electronic Arts"
"5","Mass Effect 2 Digital Deluxe Edition","Jan 27, 2010","$29.99","N/A (N/A/94%)","1,000,000 .. 2,000,000","00:00 (00:00)","BioWare","Electronic Arts"
"6","Divinity: Original Sin - Enhanced Edition","Oct 27, 2015","$39.99","N/A (N/A/94%)","1,000,000 .. 2,000,000","03:56 (02:59)","Larian Studios","Larian Studios"
"7","The Elder Scrolls IV: Oblivion Game of the Year Edition","Sep 11, 2007","$14.99","N/A (N/A/94%)","1,000,000 .. 2,000,000","04:59 (07:04)","Bethesda Game Studios","Bethesda Softworks"
"19","Dragon Age: Origins - Ultimate Edition","Oct 26, 2010","$29.99","N/A (N/A/91%)","1,000,000 .. 2,000,000","00:00 (00:00)","BioWare","Electronic Arts"
"22","DARK SOULS II","Apr 25, 2014","$24.99","N/A (N/A/91%)","1,000,000 .. 2,000,000","00:00 (00:00)","FromSoftware, Inc","BANDAI NAMCO Entertainment, FromSoftware, Inc"
"26","Into the Breach","Feb 27, 2018","$14.99","N/A (N/A/90%)","1,000,000 .. 2,000,000","00:09 (00:06)","Subset Games","Subset Games"
"31","Mass Effect (2007)","May 28, 2008","$4.99","N/A (N/A/89%)","1,000,000 .. 2,000,000","00:00 (00:00)","BioWare","Electronic Arts"
"33","Pillars of Eternity","Mar 26, 2015","$29.99","N/A (N/A/89%)","1,000,000 .. 2,000,000","04:45 (01:35)","Obsidian Entertainment","Paradox Interactive"
"34","The Elder Scrolls III: Morrowind Game of the Year Edition","Apr 29, 2002","$14.99","N/A (N/A/89%)","1,000,000 .. 2,000,000","00:02 (00:00)","Bethesda Game Studios","Bethesda Softworks"
"49","Divinity: Original Sin (Classic)","Jun 30, 2014","$39.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:00 (00:00)","Larian Studios","Larian Studios"
"52","Persona 4 Golden","Jun 13, 2020","$19.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","03:24 (00:51)","ATLUS","SEGA"
"61","Fallout 2: A Post Nuclear Role Playing Game","Dec 1, 1998","$9.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","00:00 (00:00)","Black Isle Studios","Bethesda Softworks"
"69","Yakuza 0","Aug 1, 2018","$19.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","02:49 (02:28)","SEGA","SEGA"
"85","Rogue Legacy","Jun 27, 2013","$14.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:00 (00:00)","Cellar Door Games","Cellar Door Games"
"86","STAR WARS Knights of the Old Republic II - The Sith Lords","Feb 8, 2005","$9.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:00 (00:00)","Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)","LucasArts, Lucasfilm, Aspyr (Mac, Linux)"
"106","ICEY","Nov 17, 2016","$10.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","03:37 (01:33)","FantaBlade Network","XD"
"108","Nioh: Complete Edition","Nov 7, 2017","$49.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","00:00 (00:00)","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
"112","NieR:Automata","Mar 17, 2017","$39.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","02:48 (00:56)","Square Enix, PlatinumGames Inc.","Square Enix"
"124","Torchlight","Oct 27, 2009","$14.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","00:00 (00:00)","Runic Games","Runic Games"
"127","The Riftbreaker","Oct 14, 2021","$29.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","08:01 (07:54)","EXOR Studios","EXOR Studios, Surefire.Games"
"130","Pathfinder: Wrath of the Righteous - Enhanced Edition","Sep 2, 2021","$49.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","10:53 (17:17)","Owlcat Games","META Publishing, Owlcat Games"
"131","Transistor","May 20, 2014","$19.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","00:00 (00:00)","Supergiant Games","Supergiant Games"
"153","WildStar","Jun 3, 2014","N/A","N/A (N/A/82%)","1,000,000 .. 2,000,000","00:00 (00:00)","Carbine Studios","NCSOFT"
"163","Monster Hunter Stories 2: Wings of Ruin","Jul 8, 2021","$59.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","00:51 (00:17)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"164","Children of Morta","Sep 3, 2019","$21.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","11:59 (05:00)","Dead Mage","11 bit studios"
"165","ENDLESS Legend","Sep 18, 2014","$29.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","00:00 (00:00)","AMPLITUDE Studios","SEGA"
"167","S.T.A.L.K.E.R.: Shadow of Chernobyl","Mar 20, 2007","$4.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","00:00 (00:00)","GSC Game World","GSC Game World"
"193","SUNLESS SEA","Feb 6, 2015","$18.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:00 (00:00)","Failbetter Games","Failbetter Games"
"196","Kingdoms of Amalur: Reckoning","May 1, 1989","N/A","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:00 (00:00)","Big Huge Games, 38 Studios","38 Studios, Electronic Arts"
"200","Dragon's Dogma: Dark Arisen","Jan 15, 2016","$29.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","04:05 (04:05)","Capcom","Capcom"
"201","To the Moon","Nov 1, 2011","$9.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:21 (00:13)","Freebird Games","Freebird Games"
"227","ArcheAge","Mar 26, 2015","Free","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","XLGAMES","Kakao Games Europe B.V."
"228","Card Hunter","Jul 13, 2015","Free","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","The Knights of Unity","The Knights of Unity"
"235","Age of Wonders III","Mar 31, 2014","$29.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","02:55 (00:58)","Triumph Studios","Paradox Interactive"
"243","GWENT: The Witcher Card Game","May 19, 2020","Free","N/A (N/A/80%)","1,000,000 .. 2,000,000","02:50 (03:20)","CD PROJEKT RED","CD PROJEKT RED"
"244","S.T.A.L.K.E.R.: Call of Pripyat","Feb 11, 2010","$4.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","GSC Game World","GSC Game World"
"261","Overlord II","Jun 23, 2009","$9.99","N/A (N/A/79%)","1,000,000 .. 2,000,000","00:00 (00:00)","Triumph Studios","Codemasters, Electronic Arts"
"268","For The King","Apr 19, 2018","$19.99","N/A (N/A/79%)","1,000,000 .. 2,000,000","04:53 (06:40)","IronOak Games","Curve Games"
"300","Cthulhu Saves the World","Jul 13, 2011","$2.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","00:00 (00:00)","Zeboyd Games","Zeboyd Games"
"307","Baldur's Gate II: Enhanced Edition","Nov 15, 2013","$5.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","00:01 (00:00)","Beamdog","Beamdog"
"311","Baldur's Gate: Enhanced Edition","Jan 16, 2013","$5.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","01:44 (01:09)","Beamdog","Beamdog"
"332","TERA - Action MMORPG","Jan 31, 2017","N/A","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:00 (00:00)","Bluehole, Inc.","Gameforge 4D GmbH"
