"DateTime","Games"
"2021-01-01 00:00:00",145
"2021-02-01 00:00:00",185
"2021-03-01 00:00:00",162
"2021-04-01 00:00:00",160
"2021-05-01 00:00:00",166
"2021-06-01 00:00:00",171
"2021-07-01 00:00:00",168
"2021-08-01 00:00:00",198
"2021-09-01 00:00:00",215
"2021-10-01 00:00:00",212
"2021-11-01 00:00:00",189
"2021-12-01 00:00:00",164
"2022-01-01 00:00:00",200
"2022-02-01 00:00:00",174
"2022-03-01 00:00:00",216
"2022-04-01 00:00:00",197
"2022-05-01 00:00:00",218
"2022-06-01 00:00:00",178
"2022-07-01 00:00:00",185
"2022-08-01 00:00:00",228
"2022-09-01 00:00:00",247
"2022-10-01 00:00:00",250
"2022-11-01 00:00:00",223
"2022-12-01 00:00:00",48
